"verb_meaning","verb_level","verb_infinitive","verb_id","verb_simple_past","verb_past_participle","verb_category","verb_types","verb_examples","verb_path_img"
"Vender",8,"sell",135,"sold","sold","D","irregular","",""
"Enviar",8,"send",136,"sent","sent","D","irregular","",""
"Ajustar / Establecer",2,"set",137,"set","set","A","irregular","",""
"Agitar",11,"shake",138,"shook","shaken","E","irregular","",""
"Derramar / Perder",2,"shed",139,"shed","shed","A","irregular","",""
"Brillar / Deslumbrar",9,"shine",140,"shined / shone","shined / shone","D2","irregular","",""
"Disparar",8,"shoot",141,"shot","shot","D","irregular","",""
"Gritar",4,"shout",142,"shouted","shouted","R","regular","",""
"Mostrar",12,"show",143,"showed","shown / showed","E2","irregular","",""
"Cerrar",2,"shut",144,"shut","shut","A","irregular","",""
"Cantar",11,"sing",145,"sang","sung","E","irregular","",""
"Hundir / Naufragar",11,"sink",146,"sank","sunk","E","irregular","",""
"Sentar",8,"sit",147,"sat","sat","D","irregular","",""
"Dormir",8,"sleep",148,"slept","slept","D","irregular","",""
"Deslizar",8,"slide",149,"slid","slid","D","irregular","",""
"Cortar / Rajar",2,"slit",150,"slit","slit","A","irregular","",""
"Nevar",5,"snow",151,"snowed","snowed","R","regular","",""
"Hablar",11,"speak",152,"spoke","spoken","E","irregular","",""
"Gastar / Agotar",8,"spend",153,"spent","spent","D","irregular","",""
"Derramar",3,"spill",154,"spilt / spilled","spilt / spilled","A2","irregular","",""
"Dividir / Quebrar",2,"split",155,"split","split","A","irregular","",""
"Extender / Untar / Propagar",2,"spread",156,"spread","spread","A","irregular","",""
"Brotar",12,"spring",157,"sprang","sprung","E","irregular","",""
"Mantenerse / Estar De Pie",8,"stand",158,"stood","stood","D","irregular","",""
"Comenzar",5,"start",159,"started","started","R","regular","",""
"Quedarse, Estar",5,"stay",160,"stayed","stayed","R","regular","",""
"Robar",12,"steal",161,"stole","stolen","E","irregular","",""
"Adherir / Pegar",8,"stick",162,"stuck","stuck","D","irregular","",""
"Golpear / Atacar",8,"strike",163,"struck","struck","D","irregular","",""
"Jurar",12,"swear",164,"swore","sworn","E","irregular","",""
"Sudar",4,"sweat",165,"sweat / sweated","sweat / sweated","A2","irregular","",""
"Barrer",9,"sweep",166,"swept","swept","D","irregular","",""
"Nadar",12,"swim",167,"swam","swum","E","irregular","",""
"Balancear / Oscilar",9,"swing",168,"swung","swung","D","irregular","",""
"Tomar",12,"take",169,"took","taken","E","irregular","",""
"Hablar",5,"talk",170,"talked","talked","R","regular","",""
"Enseñar",9,"teach",171,"taught","taught","D","irregular","",""
"Rasgar",12,"tear",172,"tore","torn","E","irregular","",""
"Decir / Contar",9,"tell",173,"told","told","D","irregular","",""
"Agradecer",5,"thank",174,"thanked","thanked","R","regular","",""
"Pensar",9,"think",175,"thought","thought","D","irregular","",""
"Lanzar",12,"throw",176,"thew","thrown","E","irregular","",""
"Empujar",3,"thrust",177,"thrust","thrust","A","irregular","",""
"",0,"",178,"","","","","",""
"Viajar",5,"travel",179,"traveled","traveled","R","regular","",""
"Girar",5,"turn",180,"turned","turned","R","regular","",""
"Comprender / Entender",9,"understand",181,"understood","understood","D","irregular","",""
"Alterar",3,"upset",182,"upset","upset","A","irregular","",""
"Visitar",5,"visit",183,"visited","visited","R","regular","",""
"Esperar",5,"wait",184,"waited","waited","R","regular","",""
"Despertar",12,"wake",185,"woke","woken","E","irregular","",""
"Caminar",5,"walk",186,"walked","walked","R","regular","",""
"Querer",5,"want",187,"wanted","wanted","R","regular","",""
"Vestir / Usar",12,"wear",188,"wore","worn","E","irregular","",""
"Tejer",12,"weave",189,"wove","woven","E","irregular","",""
"Casarse",4,"wed",190,"wed / wedded","wed / wedded","A2","irregular","",""
"Mojar",4,"wet",191,"wet / wetted","wet / wetted","A2","irregular","",""
"Ganar / Triunfar",9,"win",192,"won","won","D","irregular","",""
"Trabajar",5,"work",193,"worked","worked","R","regular","",""
"Escribir",12,"write",194,"wrote","written","E","irregular","",""
